交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
42,83,進入Long,BreakOut_LE,44020,0.9583333333333334,10630.25,1,-222,-1.0441899296818042,689,0.6890000000000001,15,0.07055337362714893,-217,-1.0206721384727546
,84,離開Long,Breakout_LX,44021,0,10524.25,1,,,,,,,,
43,85,進入Long,BreakOut_LE,44021,0.08333333333333333,10627,1,74.5,0.3505222546344217,763.5,0.7635000000000001,234.5,1.1033217276747906,-137.5,-0.646937047144067
,86,離開Long,Breakout_LX,44021,0.9583333333333334,10669.25,1,,,,,,,,
44,87,進入Long,BreakOut_LE,44026,0,11029,1,-211.5,-0.958835796536404,552,0.5519999999999999,53,0.24027563695711304,-206.5,-0.9361682836159216
,88,離開Long,Breakout_LX,44026,0.125,10928.25,1,,,,,,,,
45,89,進入Long,BreakOut_LE,44030,0.16666666666666666,10661,1,-122.5,-0.5745239658568615,429.5,0.4295,10,0.046899915580151955,-117.5,-0.5510740080667854
,90,離開Long,Breakout_LX,44032,0.4166666666666667,10604.75,1,,,,,,,,
46,91,進入Long,BreakOut_LE,44033,0,10775.25,1,481.5,2.2342869074963456,911,0.911,560,2.598547597503538,-5,-0.02320131783485302
,92,離開Long,Breakout_LX,44033,0.875,11021,1,,,,,,,,
47,93,進入Long,BreakOut_LE,44039,0.4166666666666667,10509.25,1,-0.5,-0.0023788567214596667,910.5,0.9105,248,1.1799129338439946,-77,-0.36634393510478863
,94,離開Long,Breakout_LX,44040,0,10514,1,,,,,,,,
48,95,進入Long,BreakOut_LE,44042,0.2916666666666667,10701,1,-108,-0.5046257359125316,802.5,0.8024999999999999,0,0,-103,-0.4812634333239884
,96,離開Long,Breakout_LX,44042,0.5833333333333334,10652,1,,,,,,,,
49,97,進入Long,BreakOut_LE,44043,0.125,10719,1,309,1.4413657990484188,1111.5,1.1115,435,2.0291071928351525,-92.5,-0.4314768168672451
,98,離開Long,Breakout_LX,44043,0.5416666666666666,10878.5,1,,,,,,,,
50,99,進入Long,BreakOut_LE,44048,0.20833333333333334,11083.25,1,12.5,0.05639140143910856,1124,1.124,115.5,0.5210565492973631,-59,-0.2661674147925924
,100,離開Long,Breakout_LX,44048,0.875,11094.5,1,,,,,,,,
51,101,進入Long,BreakOut_LE,44050,0.08333333333333333,11173.5,1,110,0.49223609433033516,1234,1.234,213,0.9531480735669217,-5,-0.022374367924106145
,102,離開Long,Breakout_LX,44050,0.4583333333333333,11233.5,1,,,,,,,,
52,103,進入Long,BreakOut_LE,44055,0.9583333333333334,11065.75,1,70,0.31629125906513345,1304,1.304,231.5,1.046020378193977,-5,-0.02259223279036667
,104,離開Long,Breakout_LX,44056,0.375,11105.75,1,,,,,,,,
53,105,進入Long,BreakOut_LE,44056,0.9166666666666666,11198,1,-134,-0.5983211287729951,1170,1.17,130.5,0.5826933380960886,-129,-0.5759957135202715
,106,離開Long,Breakout_LX,44057,0.125,11136,1,,,,,,,,
54,107,進入Long,BreakOut_LE,44060,0.9166666666666666,11232.75,1,86.5,0.38503483118559567,1256.5,1.2565,152,0.676592998152723,-5,-0.02225634862344484
,108,離開Long,Breakout_LX,44061,0.625,11281,1,,,,,,,,
55,109,進入Long,BreakOut_LE,44061,0.7916666666666666,11326.25,1,-102,-0.450281425891182,1154.5,1.1545,104,0.45911047345767575,-97,-0.4282088069749476
,110,離開Long,Breakout_LX,44061,0.9583333333333334,11280.25,1,,,,,,,,
56,111,進入Long,BreakOut_LE,44062,0.041666666666666664,11359.5,1,80.5,0.354328975747172,1235,1.2349999999999999,135.5,0.5964170958228795,-5,-0.022008010915973413
,112,離開Long,Breakout_LX,44062,0.6666666666666666,11404.75,1,,,,,,,,
57,113,進入Long,BreakOut_LE,44069,0.16666666666666666,11700,1,49.5,0.21153846153846154,1284.5,1.2845,110.5,0.4722222222222222,-5,-0.021367521367521368
,114,離開Long,Breakout_LX,44069,0.625,11729.75,1,,,,,,,,
58,115,進入Long,BreakOut_LE,44070,0,11843.25,1,199.5,0.8422519156481539,1484,1.484,312.5,1.3193169104764317,-5,-0.021109070567622908
,116,離開Long,Breakout_LX,44070,0.8333333333333334,11948,1,,,,,,,,
59,117,進入Long,BreakOut_LE,44074,0.4166666666666667,12084.5,1,-57,-0.23583929827464936,1427,1.427,9.5,0.03930654971244156,-52,-0.21515164053125904
,118,離開Long,Breakout_LX,44074,0.625,12061,1,,,,,,,,
60,119,進入Long,BreakOut_LE,44075,0,12089.75,1,183,0.7568394714530904,1610,1.6099999999999999,312.5,1.2924171302136107,-151.5,-0.6265638247275584
,120,離開Long,Breakout_LX,44075,0.9166666666666666,12186.25,1,,,,,,,,
61,121,進入Long,BreakOut_LE,44083,0.9583333333333334,11305,1,83,0.367094206103494,1693,1.693,341.5,1.510393631136665,-5,-0.022114108801415303
,122,離開Long,Breakout_LX,44084,0.4166666666666667,11351.5,1,,,,,,,,
62,123,進入Long,BreakOut_LE,44084,0.9166666666666666,11499.5,1,-358.5,-1.5587634244967172,1334.5,1.3345,129.5,0.5630679594764989,-353.5,-1.537023348841254
,124,離開Long,Breakout_LX,44085,0.08333333333333333,11325.25,1,,,,,,,,
63,125,進入Long,BreakOut_LE,44088,0.625,11254,1,-113,-0.5020437177892305,1221.5,1.2215,42.5,0.18882175226586104,-108,-0.4798293939932468
,126,離開Long,Breakout_LX,44088,0.75,11202.5,1,,,,,,,,
64,127,進入Long,BreakOut_LE,44089,0.5416666666666666,11294,1,283.5,1.2550911988666549,1505,1.505,369.5,1.635824331503453,-8.5,-0.03763060031875332
,128,離開Long,NQ_Settlement_LX,44090,0.16666666666666666,11440.75,1,,,,,,,,
65,129,進入Long,BreakOut_LE,44090,0.75,11528.5,1,-154,-0.6679099622674242,1351,1.351,9,0.03903369909355077,-149,-0.6462245738821182
,130,離開Long,Breakout_LX,44090,0.9166666666666666,11456.5,1,,,,,,,,
66,131,進入Long,BreakOut_LE,44099,0.041666666666666664,10961,1,-86.5,-0.3945807864245963,1264.5,1.2645,95.5,0.43563543472310917,-314,-1.4323510628592282
,132,離開Long,Breakout_LX,44099,0.5833333333333334,10922.75,1,,,,,,,,
67,133,進入Long,BreakOut_LE,44102,0.75,11276,1,-90.5,-0.4012947853848882,1174,1.174,173.5,0.769333096842852,-85.5,-0.37912380276693863
,134,離開Long,Breakout_LX,44103,0.041666666666666664,11235.75,1,,,,,,,,
68,135,進入Long,BreakOut_LE,44103,0.4166666666666667,11439,1,-92,-0.4021330535886004,1082,1.082,14.5,0.06337966605472506,-87,-0.38027799632835035
,136,離開Long,Breakout_LX,44103,0.625,11398,1,,,,,,,,
69,137,進入Long,BreakOut_LE,44105,0,11479.75,1,-14,-0.06097693765108125,1068,1.068,223.5,0.9734532546440472,-292.5,-1.2739824473529477
,138,離開Long,Breakout_LX,44106,0,11477.75,1,,,,,,,,
70,139,進入Long,BreakOut_LE,44109,0.9583333333333334,11371.25,1,110.5,0.48587446410904694,1178.5,1.1785,245,1.0772782235901945,-5,-0.021985269869187644
,140,離開Long,Breakout_LX,44110,0.7083333333333334,11431.5,1,,,,,,,,
71,141,進入Long,BreakOut_LE,44112,0.08333333333333333,11459.25,1,122,0.532321050679582,1300.5,1.3005,233,1.0166459410519886,-5,-0.021816436503261556
