交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
43,85,進入Long,TXF_BreakOut_LE,43664,0.875,10684,1,1850,0.34631224260576565,-5250,-0.525,5250,0.9827779857731187,-750,-0.14039685511044553
,86,離開Long,TXF_Breakout_LX,43665,0.7916666666666666,10727,1,,,,,,,,
44,87,進入Long,TXF_BreakOut_LE,43676,0.20833333333333334,10805,1,-1800,-0.33317908375751965,-7050,-0.705,1450,0.26839426191577975,-1650,-0.3054141601110597
,88,離開Long,TXF_Breakout_LX,43676,0.4479166666666667,10775,1,,,,,,,,
45,89,進入Long,TXF_BreakOut_LE,43679,0.08333333333333333,10696,1,-3300,-0.6170531039640987,-10350,-1.035,0,0,-3150,-0.5890052356020943
,90,離開Long,TXF_ThisBar_LX,43679,0.08333333333333333,10636,1,,,,,,,,
46,91,進入Long,TXF_BreakOut_LE,43680,0.041666666666666664,10429,1,-1700,-0.3260139994246812,-12050,-1.205,650,0.12465241154473103,-1550,-0.29724805829897405
,92,離開Long,TXF_Breakout_LX,43682,0.40625,10401,1,,,,,,,,
47,93,進入Long,TXF_BreakOut_LE,43683,0.4479166666666667,10231,1,4150,0.8112598963933144,-7900,-0.79,7650,1.4954549897370737,-150,-0.029322646857589677
,94,離開Long,TXF_Breakout_LX,43683,0.9583333333333334,10320,1,,,,,,,,
48,95,進入Long,TXF_BreakOut_LE,43684,0.6666666666666666,10354,1,-2700,-0.5215375700212479,-10600,-1.06,2150,0.4152984353872899,-2550,-0.49256326057562294
,96,離開Long,TXF_Breakout_LX,43684,0.9166666666666666,10306,1,,,,,,,,
49,97,進入Long,TXF_BreakOut_LE,43685,0.16666666666666666,10372,1,2150,0.41457770921712306,-8450,-0.845,5350,1.031623602005399,-1750,-0.3374469726185885
,98,離開Long,TXF_Breakout_LX,43689,0.40625,10421,1,,,,,,,,
50,99,進入Long,TXF_BreakOut_LE,43689,0.4479166666666667,10474,1,-5000,-0.9547450830628221,-13450,-1.345,0,0,-4850,-0.9261027305709376
,100,離開Long,TXF_Breakout_LX,43689,0.7916666666666666,10380,1,,,,,,,,
51,101,進入Long,TXF_BreakOut_LE,43693,0.53125,10402,1,-600,-0.11536243030186503,-14050,-1.405,1900,0.3653143626225726,-450,-0.08652182272639877
,102,離開Long,TXF_Breakout_LX,43693,0.9166666666666666,10396,1,,,,,,,,
52,103,進入Long,TXF_BreakOut_LE,43694,0,10435,1,3450,0.6612362242453282,-10600,-1.06,4750,0.9103977000479155,-1600,-0.30666027791087686
,104,離開Long,TXF_Breakout_LX,43697,0.9166666666666666,10510,1,,,,,,,,
53,105,進入Long,TXF_BreakOut_LE,43698,0,10518,1,-1450,-0.27571781707548965,-12050,-1.205,50,0.009507510933637574,-1300,-0.24719528427457693
,106,離開Long,TXF_Breakout_LX,43698,0.20833333333333334,10495,1,,,,,,,,
54,107,進入Long,TXF_BreakOut_LE,43698,0.4479166666666667,10536,1,-250,-0.047456340167046314,-12300,-1.23,150,0.02847380410022779,-1250,-0.2372817008352316
,108,離開Long,TXF_Settlement_LX,43698,0.53125,10537,1,,,,,,,,
55,109,進入Long,TXF_BreakOut_LE,43698,0.9166666666666666,10521,1,-850,-0.1615815987073472,-13150,-1.315,1150,0.21861039825111683,-700,-0.1330671989354624
,110,離開Long,TXF_Breakout_LX,43699,0.125,10510,1,,,,,,,,
56,111,進入Long,TXF_BreakOut_LE,43704,0.75,10365,1,1000,0.1929570670525808,-12150,-1.2149999999999999,3500,0.6753497346840328,-150,-0.02894356005788712
,112,離開Long,TXF_Breakout_LX,43705,0.8333333333333334,10391,1,,,,,,,,
57,113,進入Long,TXF_BreakOut_LE,43706,0.7083333333333334,10475,1,4250,0.8114558472553699,-7900,-0.79,7100,1.3556085918854415,-150,-0.02863961813842482
,114,離開Long,TXF_Breakout_LX,43708,0,10566,1,,,,,,,,
58,115,進入Long,TXF_BreakOut_LE,43712,0.4479166666666667,10612,1,6850,1.290991330569167,-1050,-0.105,9000,1.6961929890689786,-150,-0.028269883151149644
,116,離開Long,TXF_Breakout_LX,43714,0.4479166666666667,10755,1,,,,,,,,
59,117,進入Long,TXF_BreakOut_LE,43717,0.7916666666666666,10795,1,-1050,-0.19453450671607225,-2100,-0.21,0,0,-900,-0.1667438628994905
,118,離開Long,TXF_Breakout_LX,43718,0.041666666666666664,10780,1,,,,,,,,
60,119,進入Long,TXF_BreakOut_LE,43719,0.16666666666666666,10780,1,900,0.16697588126159554,-1200,-0.12,4350,0.8070500927643784,-1600,-0.29684601113172543
,120,離開Long,TXF_Breakout_LX,43720,0.9166666666666666,10804,1,,,,,,,,
61,121,進入Long,TXF_BreakOut_LE,43721,0.041666666666666664,10820,1,-200,-0.03696857670979667,-1400,-0.13999999999999999,100,0.018484288354898334,-500,-0.09242144177449169
,122,離開Long,TXF_Holiday_LX,43721,0.16666666666666666,10822,1,,,,,,,,
62,123,進入Long,TXF_BreakOut_LE,43724,0.4479166666666667,10858,1,1550,0.2855037760176828,150,0.015,2600,0.478909559771597,-350,-0.06446859458463806
,124,離開Long,TXF_Breakout_LX,43725,0.08333333333333333,10895,1,,,,,,,,
63,125,進入Long,TXF_BreakOut_LE,43726,0,10888,1,2100,0.3857457751653196,2250,0.22499999999999998,2850,0.5235121234386481,-350,-0.06429096252755327
,126,離開Long,TXF_Settlement_LX,43726,0.53125,10936,1,,,,,,,,
64,127,進入Long,TXF_BreakOut_LE,43740,0.16666666666666666,10920,1,-700,-0.1282051282051282,1550,0.155,0,0,-550,-0.10073260073260075
,128,離開Long,TXF_ThisBar_LX,43740,0.16666666666666666,10912,1,,,,,,,,
65,129,進入Long,TXF_BreakOut_LE,43741,0.9166666666666666,10855,1,-1200,-0.22109626900046064,350,0.034999999999999996,200,0.036849378166743434,-1050,-0.19345923537540305
,130,離開Long,TXF_Breakout_LX,43741,0.9583333333333334,10837,1,,,,,,,,
66,131,進入Long,TXF_BreakOut_LE,43743,0.08333333333333333,10895,1,3550,0.6516750803120698,3900,0.38999999999999996,6150,1.1289582377237266,-650,-0.1193207893529142
,132,離開Long,TXF_Breakout_LX,43746,0.8333333333333334,10972,1,,,,,,,,
67,133,進入Long,TXF_BreakOut_LE,43752,0.4479166666666667,11079,1,2950,0.5325390378192978,6850,0.685,4500,0.8123476848090982,-1750,-0.31591298853687155
,134,離開Long,TXF_Settlement_LX,43754,0.53125,11144,1,,,,,,,,
68,135,進入Long,TXF_BreakOut_LE,43755,0,11160,1,-1750,-0.31362007168458783,5100,0.51,150,0.026881720430107527,-1600,-0.2867383512544803
,136,離開Long,TXF_Breakout_LX,43755,0.40625,11131,1,,,,,,,,
69,137,進入Long,TXF_BreakOut_LE,43755,0.6666666666666666,11162,1,-300,-0.05375380756136893,4800,0.48,4000,0.7167174341515857,-150,-0.026876903780684466
,138,離開Long,TXF_Breakout_LX,43756,0,11162,1,,,,,,,,
70,139,進入Long,TXF_BreakOut_LE,43759,0.875,11167,1,2850,0.5104325244022567,7650,0.765,4900,0.877585743709143,-400,-0.07163965254768515
,140,離開Long,TXF_Breakout_LX,43761,0.20833333333333334,11230,1,,,,,,,,
71,141,進入Long,TXF_BreakOut_LE,43762,0.20833333333333334,11229,1,3050,0.5432362632469498,10700,1.0699999999999998,4800,0.8549292011755277,-500,-0.0890551251224508
,142,離開Long,TXF_Breakout_LX,43763,0.40625,11296,1,,,,,,,,
72,143,進入Long,TXF_BreakOut_LE,43766,0.9583333333333334,11346,1,-650,-0.11457782478406486,10050,1.005,850,0.14983254010223868,-500,-0.08813678829543452
,144,離開Long,TXF_Breakout_LX,43767,0.4895833333333333,11339,1,,,,,,,,
73,145,進入Long,TXF_BreakOut_LE,43768,0.8333333333333334,11343,1,-1150,-0.20276822710041434,8900,0.89,100,0.017632019747862118,-1000,-0.17632019747862118
,146,離開Long,TXF_Breakout_LX,43768,0.9166666666666666,11326,1,,,,,,,,
74,147,進入Long,TXF_BreakOut_LE,43770,0.4895833333333333,11348,1,11450,2.0179767359887206,20350,2.035,13800,2.4321466337680646,-150,-0.026436376454000703
,148,離開Long,TXF_Breakout_LX,43774,0.08333333333333333,11583,1,,,,,,,,
75,149,進入Long,TXF_BreakOut_LE,43783,0.041666666666666664,11491,1,-2750,-0.47863545383343487,17600,1.76,900,0.15664433034548778,-2600,-0.4525280654425202
,150,離開Long,TXF_Breakout_LX,43783,0.4479166666666667,11442,1,,,,,,,,
76,151,進入Long,TXF_BreakOut_LE,43784,0.875,11522,1,-350,-0.060753341433778855,17250,1.725,1500,0.2603714632876237,-200,-0.034716195105016494
,152,離開Long,TXF_Breakout_LX,43787,0.40625,11521,1,,,,,,,,
77,153,進入Long,TXF_BreakOut_LE,43788,0.6666666666666666,11654,1,-1250,-0.21451862021623475,16000,1.6,400,0.06864595846919512,-1100,-0.1887763857902866
,154,離開Long,TXF_Breakout_LX,43789,0,11635,1,,,,,,,,
78,155,進入Long,TXF_BreakOut_LE,43790,0.75,11547,1,-1100,-0.19052567766519443,14900,1.49,250,0.043301290378453275,-950,-0.16454490343812248
,156,離開Long,TXF_Breakout_LX,43791,0,11531,1,,,,,,,,
79,157,進入Long,TXF_BreakOut_LE,43791,0.75,11568,1,1550,0.26798063623789764,16450,1.645,4350,0.7520746887966805,-1300,-0.2247579529737206
,158,離開Long,TXF_Breakout_LX,43795,0.9583333333333334,11605,1,,,,,,,,
80,159,進入Long,TXF_BreakOut_LE,43796,0.40625,11629,1,-1550,-0.26657494195545617,14900,1.49,0,0,-1400,-0.2407773669275088
,160,離開Long,TXF_ThisBar_LX,43796,0.40625,11604,1,,,,,,,,
81,161,進入Long,TXF_BreakOut_LE,43796,0.6666666666666666,11651,1,100,0.017165908505707664,15000,1.5,1400,0.24032271907990732,-150,-0.0257488627585615
,162,離開Long,TXF_Breakout_LX,43797,0.40625,11659,1,,,,,,,,
82,163,進入Long,TXF_BreakOut_LE,43802,0.4479166666666667,11522,1,-1800,-0.3124457559451484,13200,1.32,900,0.1562228779725742,-1650,-0.28640860961638603
,164,離開Long,TXF_Breakout_LX,43802,0.875,11492,1,,,,,,,,
83,165,進入Long,TXF_BreakOut_LE,43803,0.08333333333333333,11470,1,-1150,-0.20052310374891022,12050,1.205,1350,0.23539668700959024,-1000,-0.17436791630340018
,166,離開Long,TXF_Breakout_LX,43803,0.4895833333333333,11453,1,,,,,,,,
84,167,進入Long,TXF_BreakOut_LE,43803,0.75,11500,1,4650,0.808695652173913,16700,1.67,6050,1.0521739130434784,-150,-0.02608695652173913
,168,離開Long,TXF_Breakout_LX,43805,0,11599,1,,,,,,,,
85,169,進入Long,TXF_BreakOut_LE,43810,0.041666666666666664,11630,1,10350,1.7798796216680999,27050,2.705,12750,2.1926053310404128,-1950,-0.3353396388650043
,170,離開Long,TXF_Breakout_LX,43811,0.9583333333333334,11843,1,,,,,,,,
